Title,Authors,Year,Journal,Language,CitedByCount,Affiliation,Predicted Subject Area
Catalytic role of ionic liquids for the synthesis of bioactive N-heterocycles under solvent-free conditions,Vyas S.,2023,Solvent-Free Synthesis: Bioactive Heterocycles,Unknown Language,0,Pacific Academy of Higher Education and Research University,"CENG, CHEM, MATE, PHYS"
Adventures in Zoomland: Transitions in scale and the visual exploration of historical knowledge graphs as sequential storytelling,Butterworth A.,2023,Zoomland: Exploring Scale in Digital History and Humanities,Unknown Language,0,Science Museum,"ARTS, MATH"
Molecular phylogenetic analyses reveal both underestimation and overestimation of species diversity in northern rain frogs (Craugastor),Streicher J.W.,2023,Journal of Vertebrate Biology,Unknown Language,1,"The Natural History Museum, London; The University of Texas at Arlington","AGRI, BIOC"
Hyperspectral prediction of pigment content in tomato leaves based on logistic-optimized sparrow search algorithm and back propagation neural network,Zhao J.,2023,Journal of Agricultural Engineering,Unknown Language,3,Shanxi Agricultural University,"AGRI, ENGI"
Research on Energy Management of Micro-Gas Turbine Range Extended Electric Vehicle Based on Battery Life Prediction,Zichong L.,2023,SAE Technical Papers,Unknown Language,0,Nanjing University of Science and Technology,"ENER, ENGI"
Conceptualizing health A corpus-based Cultural Linguistic study,Scott P.,2023,International Journal of Language and Culture,Unknown Language,0,Xi'an Jiaotong-Liverpool University,"ARTS, MEDI, SOCI"
Energy and Power System Design and Test Verification for Electric VTOL,Li H.,2023,SAE Technical Papers,Unknown Language,0,"Commercial Aircraft Corporation of China, Ltd.","ENGI, ENVI"
Choice of language in the construction of cultural identity by Tamil speakers in India,Eldho E.,2023,International Journal of Language and Culture,Unknown Language,0,National Institute of Technology Calicut,"ARTS, ENGI, SOCI"
"Effect of Slub Parameters on Yarn Unevenness, Hairiness and Strength Properties of Slub Yarns",Topuz B.E.,2023,Tekstil ve Konfeksiyon,Unknown Language,0,Ege Üniversitesi,"MATE, ENGI"
BALTIC AMBER IN THE HUNGARIAN BRONZE AGE. NEW DATA AND CURRENT STAGE OF RESEARCH,Jaeger M.,2023,Sprawozdania Archeologiczne,Unknown Language,0,Uniwersytet im. Adama Mickiewicza w Poznaniu,NURS
Production of Bacterial Cellulose Based On Bio Nonwoven / Nonwoven Composites for Medical Textile Applications,Kılınç N.,2023,Tekstil ve Konfeksiyon,Unknown Language,0,Süleyman Demirel Üniversitesi,MATE
Textile Sublimation Printing: Impact of Total Ink Limiting Level and Sublimation Transfer Paper on Black Print Quality,Toshikj E.,2023,Tekstil ve Konfeksiyon,Unknown Language,1,Ss. Cyril and Methodius University in Skopje,"CHEM, MATE"
Water Conscious Blue Jeans Washing Process: A Case Study of Turkey,Nergi B.,2023,Tekstil ve Konfeksiyon,Unknown Language,0,İstanbul Teknik Üniversitesi,ENVI
Cotton Fabrics Finished by Natural and Sulfated β-Cyclodextrin Inclusion Complexes of Silver Nanoparticles for Biomedical Applications,Sari C.,2023,Tekstil ve Konfeksiyon,Unknown Language,1,Kobe Textile Company,"BIOC, PHAR"
Economic Globalisation and Public Debt: What Implications does an Integrated South African Economy Hold for Fiscal Policymakers?,Moeng M.,2023,Forum Scientiae Oeconomia,Unknown Language,0,North-West University,"ECON, SOCI"
The Economic and Safety Improvement Feasibility of Urban Ocean Fishing Port Modernization – Study Case of Nizam Zachman,Wurjanto J.A.,2023,Journal of Engineering and Technological Sciences,Unknown Language,0,Institut Teknologi Bandung,"ECON, ENGI"
Does the Desert Skimmer Orthetrum ransonnetii (Odonata: Libellulidae) avoid perching on vegetation?,Blecher M.,2023,Israel Journal of Entomology,Unknown Language,0,Dead Sea-Arava Science Center,AGRI
Corrosion Behavior of Steel 37 under Dynamic Conditions in 0.1 N H<inf>2</inf>SO<inf>4</inf>,Atiyah A.A.,2023,Journal of Engineering and Technological Sciences,Unknown Language,0,University of Technology- Iraq,ENGI
Behavioural evidence for implicative paradigmatic relations,Copot M.,2023,Mental Lexicon,Unknown Language,1,Université Paris Cité; The Ohio State University,SOCI
Definition of linear regression models to calculate the technical parameters of Italian agricultural tractors,Calcante A.,2023,Journal of Agricultural Engineering,Unknown Language,1,Università degli Studi di Milano,"AGRI, ENGI"
Driving the Image of an Electricity Supplier through Marketing Activities,Dabrowski D.,2023,Forum Scientiae Oeconomia,Unknown Language,4,Gdańsk University of Technology,"BUSI, ENGI"
Photometric Stereo Method Used for Woven Fabric Density Measurement Based on 3D Surface Structure,Juliastuti E.,2023,Journal of Engineering and Technological Sciences,Unknown Language,0,Institut Teknologi Bandung,ENGI
The Impact of the COVID-19 Pandemic on the Evolution of Investment Markets in Central and Eastern Europe,Kwilinski A.,2023,Forum Scientiae Oeconomia,Unknown Language,7,"London Academy of Science and Business; WSB University, Dabrowa Gornicza","BUSI, MEDI"
"Pangasius silasi, a fish species endemic to Krishna River in India, reveals a healthy PUFA and nutritional profile: Could be a promising species as human food",Asha K.K.,2023,Indian Journal of Fisheries,Unknown Language,0,"ICAR - Central Institute of Fisheries Technology, Cochin",AGRI
"The Scope of the Duty of the Custodian, as Defined in a Court Settlement or Court Order on the Maintenance of Contact with the Child by the Authorized Person in the Case Law of the Supreme Court as an Expression of the Implementation of the Principle iustitia Est Constans et Perpetua Voluntas Ius Suum Cuique Tribuendi",Szczechowicz J.,2023,Prawo i Wiez,Unknown Language,0,Uniwersytetu Warmińsko-Mazurskiego w Olsztynie,"MEDI, SOCI"
"Tropical sexually transmitted infections Summary of the SFMTSI Scientific Day of November 9, 2023",Caumes É.,2023,Medecine tropicale et sante internationale,Unknown Language,0,Sorbonne Université,"COMP, MULT"
"6th day dedicated to the scientific works of caregivers in French Guiana. Our caregivers have talent! May 25 &amp; 26, 2023, Cayenne, French Guiana",Deschamps C.,2023,Medecine tropicale et sante internationale,Unknown Language,0,Centre Hospitalier de Cayenne,"MULT, COMP"
A matter of consequences: Understanding the effects of robot errors on people's trust in HRI,Rossi A.,2023,Interaction Studies,Unknown Language,0,University of Hertfordshire; Università degli Studi di Napoli Federico II,"COMP, ENGI"
Human risk factors in cybersecurity: Experimental assessment of an academic human attack surface,Cuchta T.,2023,Interaction Studies,Unknown Language,1,Fairmont State University; Marshall University,"SOCI, BIOC"
Coordination between vehicles in traffic: Accounting for the use of direction lights based on observations in North-East Italy,Masotina M.,2023,Interaction Studies,Unknown Language,0,Human Inspired Technologies Research Centre,BUSI
Tonal intelligibility within a paragraph: Analyzing Polish Mandarin learners' tone production,Chu M.N.,2023,AILA Review,Unknown Language,2,Fu Jen Catholic University,SOCI
Discourse analysis of male and female representatives of selected countries at the United Nations general debates,Alshahrani A.,2023,AILA Review,Unknown Language,0,Al Baha University,"SOCI, ARTS"
The formation of the Gog/Magog-concept and its use in medieval Latin historiography (until 1200),Lehner H.C.,2023,Gog and Magog: Contributions toward a World History of an Apocalyptic Motif,Unknown Language,0,Akademie Biberkor,SOCI
The reception of gog and Magog in Jewish traditions at the emergence of Islam,Spurling H.,2023,Gog and Magog: Contributions toward a World History of an Apocalyptic Motif,Unknown Language,0,University of Southampton,AGRI
Introduction: Gog and magog and their worlds,Tamer G.,2023,Gog and Magog: Contributions toward a World History of an Apocalyptic Motif,Unknown Language,0,Friedrich-Alexander-Universität Erlangen-Nürnberg,"ARTS, AGRI"
"""The climate will change again and yecüc and mecüc will leave their places"": Gog and Magog in two Late Ottoman texts",Morack E.,2023,Gog and Magog: Contributions toward a World History of an Apocalyptic Motif,Unknown Language,0,Universität Bamberg,"EART, ENVI, SOCI"
"BEING BLACK IN AMERICA: THE ANALYSIS OF RUDY FRANCISCO’S POETRY THROUGH THE PRISM OF RACE, DOUBLE IDENTITY AND POSTCOLONIAL CRITICISM",Lojić N.R.,2023,Filolog (Banja Luka),Unknown Language,0,Univerziteta u Banjoj Luci,"MATH, EART"
Consequences in Administrative and Tax Proceedings of the Absence of an Address for Electronic Service of Documents after the Deadline Specified in the Notification Issued Pursuant to Section 155(10) of the Electronic Service of Documents Act,Pietrasz P.,2023,Prawo i Wiez,Unknown Language,0,Uniwersytet w Bialymstoku,"HEAL, ECON"
Morphological Characterization and Selection in Some Summer Squash (Cucurbita pepo L.) Genotypes,Şavkan A.N.,2023,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,0,Kırşehir Ahi Evran Üniversitesi,AGRI
BOŽIDAR PETRANOVIĆ AND THE EMERGENCE OF PERIODICALS IN SERBIAN IN THE PROVINCE OF DALMATIA,Jelić D.D.,2023,Filolog (Banja Luka),Unknown Language,0,University of Banja Luka,"VETE, AGRI"
The Impact of Digital Exclusion on Limiting Access to Justice in Civil Matters,Flaga-Gieruszyńska K.,2023,Prawo i Wiez,Unknown Language,0,Uniwersytetu Szczecińskiego,"MATE, ENGI"
SOCIAL NETWORKS AS A LANGUAGE TEACHING TOOL,Marinković M.M.,2023,Filolog (Banja Luka),Unknown Language,0,Università degli Studi di Torino,"BIOC, SOCI"
ENGAGEMENT STRATEGIES IN SOCIAL ACTORS’ RESPONSES TO THE #ENDSARS PROTEST,Okoro A.D.,2023,Filolog (Banja Luka),Unknown Language,0,University of Ibadan,"BUSI, SOCI"
Yield Prediction and Recommendation of Crops in India’s Northeastern Region Using Machine Learning Regression Models,Sharma N.,2023,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,3,Assam down town University,AGRI
Meeting Housing Needs as the Goal of Municipal Housing Programs,Tyrawa D.,2023,Prawo i Wiez,Unknown Language,0,Katolicki Uniwersytet Lubelski Jana Pawła II,"CHEM, ENVI"
Economic appraisal of Indian marine products exports – A decadal analysis for the period 2001 to 2021,Jeevitha G.N.,2023,Indian Journal of Fisheries,Unknown Language,0,Dr. Rajendra Prasad Central Agricultural University,ECON
"FREEDOM, THE IDEA OF FATHERLAND AND NATIONAL INDEPENDENCE. THE IMAGE OF SOUTHERN SLAVIC PEOPLES IN THE WRITINGS OF GIUSEPPE MAZZINI",Baselica G.,2023,Filolog (Banja Luka),Unknown Language,0,Università degli Studi di Torino,"BIOC, NURS"
Psychological interventions for decreasing anxiety in people with multiple sclerosis (MS): A systematic review,Afsharzada M.S.,2023,Romanian Medical Journal,Unknown Language,0,Linköpings Universitet,"MEDI, NEUR"
Case series: Clinico-pathological studies of gastrointestinal neuroendocrine tumors (GI-NETs),Ramasamy A.A.,2023,Romanian Medical Journal,Unknown Language,0,Kilpauk Medical College,MEDI
Differences in Food Coping Strategy between Rural and Urban Households toward Stunting Incidents,Pujokaroni A.S.,2023,Amerta Nutrition,Unknown Language,0,Universitas Mulawarman,"AGRI, MEDI, NURS"
Effect of Vermicompost Treatment on Oil Quality and Fatty Acid Composition of Peanut (Arachis hypogaea L.),Yilmaz M.,2023,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,0,Oil Seed Research Institute,AGRI
Different Efficient Responses of Sorghum and Maize Varieties to Different Irrigation Systems,Torabi M.,2023,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,0,Isfahan Agricultural and Natural Resources Research and Education Center,AGRI
Fluctuations in the emotions experienced by beginner learners in five French as a Foreign Language courses. A multiple case study,Guedat-Bittighofer D.,2023,"LIA Language, Interaction and Acquisition",Unknown Language,2,Université d’Angers,"ARTS, SOCI"
Mapping wetland research in India in comparison with the rest of the world (1998-2021) - A meta-analysis,Iburahim S.A.,2023,Indian Journal of Fisheries,Unknown Language,0,"ICAR - Central Institute of Fisheries Education, Mumbai","AGRI, MEDI"
WOMEN IN THE AGE OF MEXICAN REVOLUTION: FRANCISCO ROJAS GONZÁLEZ'S LA NEGRA ANGUSTIAS,Stevanović S.V.,2023,Filolog (Banja Luka),Unknown Language,0,University of Kragujevac,"MEDI, ARTS"
The Investigation of Effect of Bacteria in Biological Control of Red Spider Mite (Tetranychus spp.) and Plant Yield Parameter in Cotton (Gossypium hirsutum L.),Çelik S.,2023,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,1,Sfc Agro Agriculture Limited Company,AGRI
Students in Italian online universities:enrollments time series analysis from 2005 to 2021,Minerva T.,2023,Journal of E-Learning and Knowledge Society,Unknown Language,0,Università degli Studi di Modena e Reggio Emilia,SOCI
Love Magic: Spells Using Menstrual Blood in Lithuania,Balikienė M.,2023,Yearbook of Balkan and Baltic Studies,Unknown Language,0,Vilnius Institute for Advanced Studies (VILIAS),"SOCI, MEDI"
Complementary Feeding Patterns and Factors Affecting Timely Introduction in a Tribal Population: A Mixed-Methods Study,Yadav S.,2023,Indian Journal of Community Health,Unknown Language,0,Rama Medical College,MEDI
Folk Customs And Beliefs In Kosovo And Metohija Between The Two World Wars,Slavković Mirić B.,2023,Yearbook of Balkan and Baltic Studies,Unknown Language,0,Institute for Recent History of Serbia,"AGRI, SOCI"
Adaptation and Negotiation of Muslims within the Local Catholic Community in Eastern Indonesia,Widyawati F.,2023,Journal of Al-Tamaddun,Unknown Language,2,Universitas Katolik Indonesia Santu Paulus Ruteng,"MULT, SOCI"
The Ecological Funeral: New Ideas in Contemporary Lithuania,Račiūnaitė-Paužuolienė R.,2023,Yearbook of Balkan and Baltic Studies,Unknown Language,0,Vytautas Magnus University,SOCI
Al-Madaih An-Nabawiyyah: Its Literary History and Transformational Functions in the 21<sup>st</sup> Century Era,Maimunah I.,2023,Journal of Al-Tamaddun,Unknown Language,0,Universitas Islam Negeri Maulana Malik Ibrahim Malang,"SOCI, ARTS"
A Cross-sectional study on Out-of-Pocket expenditure towards Immunization and its consequences faced by families with under-five Children Residing at one of the Cities of Western India,Desai N.B.,2023,Indian Journal of Community Health,Unknown Language,0,Hospital and Research Centre,MEDI
A Critical Assessment of Heinz Halm’s Views on the Fatimid Caliph of Egypt al-Hākim bi-Amr Allāh,Ansari R.,2023,Journal of Al-Tamaddun,Unknown Language,0,University of Isfahan,"CHEM, CENG"
IN THE MIDDLE OF NOWHERE. UNIQUE SWORD SCABBARD CHAPE FROM NIEPOŁOMICE FOREST,Janowski A.,2023,Sprawozdania Archeologiczne,Unknown Language,0,Institute of Archaeology and Ethnology of the Polish Academy of Sciences,"ARTS, AGRI"
Popular Beliefs and Magic Promoting Fertility in the 20<sup>th</sup> Century and beginning of the 21<sup>st</sup> Century: The Case of Lithuania,Vailionytė N.,2023,Yearbook of Balkan and Baltic Studies,Unknown Language,0,Vytautas Magnus University,"SOCI, MEDI"
Cultural Impact of Scholars in the Andalusian Emirate (138-442 AH/756-1031 AD),Alotaibi H.H.S.,2023,Journal of Al-Tamaddun,Unknown Language,1,Imam Ab-dulrahman Bin Faisal University,SOCI
The Decline of the Umayyad Caliphate in Andalus Based on Ibn Khaldun’s Theory,Abdullah S.,2023,Journal of Al-Tamaddun,Unknown Language,0,Universiti Sains Malaysia,"CHEM, CENG"
Vanished Cultural Landscapes: Rituals of Remembrance for Submerged Bulgarian Villages,Gergova L.,2023,Yearbook of Balkan and Baltic Studies,Unknown Language,0,The Bulgarian Academy of Sciences,SOCI
Bioaccumulation of some heavy metals in the muscle of cyprinus carpio from three locations in dukan lake,Othman C.O.,2023,Tikrit Journal for Agricultural Sciences,Unknown Language,1,Directorate of Veterinary Services in Sulaymaniyah,"AGRI, ENVI"
Salafi Movement Post-Conflict Ambon: A Search for Identity in Maluku,Toisuta H.,2023,Journal of Al-Tamaddun,Unknown Language,0,State Islamic Institute,SOCI
Rapport Building in community settings,Kumar S.,2023,Indian Journal of Community Health,Unknown Language,0,All India Institute of Medical Sciences Rishikesh,MEDI
Three Early Islamic Stelae Found in the Malay Archipelago and Its Artistic Relation with the Eastern Islamic World Muhammad,Ismail M.U.,2023,Journal of Al-Tamaddun,Unknown Language,1,Universiti Sains Malaysia,"ARTS, SOCI"
Optimizing the multi-part layout to minimize the empty travel distance of nozzle,Xing X.Y.,2023,Journal of Graphics,Unknown Language,0,Hangzhou Dianzi University,"COMP, SOCI"
"Siblings On Artificial Intelligence: “It Is All About The Bottom Line, Period!”",Gupta D.,2023,Indian Journal of Community Health,Unknown Language,0,Himalayan Institute of Medical Sciences,"COMP, MEDI"
"From pots to potters: reconstructing group and individual variability in pottery production. A case study of the LBK site Cząstków Polski XII, Czosnów Commune",Pyzel J.,2023,Sprawozdania Archeologiczne,Unknown Language,3,Uniwersytet Marii Curie-Sklodowskiej w Lublinie,"AGRI, PSYC"
The genus Philorea in Peru: checklist and distribution records (Coleoptera: Tenebrionidae: Pimeliinae: Physogasterini),Giraldo A.E.,2023,Revista de la Sociedad Entomologica Argentina,Unknown Language,0,Universidad Nacional Agraria La Molina,AGRI
The History of Postmodernism and Its Impact on Muslim Lifestyle in Malaysia,Mat Zin A.A.,2023,Journal of Al-Tamaddun,Unknown Language,2,Universiti Malaya,SOCI
Symbiosis between Caravanserai in Islamic Civilisation and Tourism in Modern Era: A Reference to Malaysia,Mat Sidek R.S.,2023,Journal of Al-Tamaddun,Unknown Language,2,Universiti Kebangsaan Malaysia,"BUSI, SOCI"
"Nature For Protection, Nature For Profit: The Case Of Bolata Bay, Bulgaria",Pileva D.,2023,Yearbook of Balkan and Baltic Studies,Unknown Language,0,The Bulgarian Academy of Sciences,"MULT, AGRI"
Current status and progress of research on the application of complex networks in the field of industrial design,Ding M.,2023,Journal of Graphics,Unknown Language,0,Hebei University of Technology,COMP
Diachrony and Diachronica: 40@40,Bowern C.,2023,Diachronica,Unknown Language,0,Yale University,"MATE, PHYS"
Determinants of Overweight and Obesity in Adolescent Aged 13-15 Years Old in DKI Jakarta (Analysis of Riskesdas 2018 Data),Ramadhany R.A.,2023,Amerta Nutrition,Unknown Language,0,Universitas Pembangunan Nasional Veteran Jakarta,MEDI
Palette-based semi-interactive low-light Thangka images enhancement,Zhang C.,2023,Journal of Graphics,Unknown Language,0,Qinghai Normal University; The State Key Laboratory of Tibetan Intelligent Information Processing and Application,"HEAL, COMP"
"The Relationship between the Frequency of Formula Feeding and the Use of Milk Bottle Size with the Nutritional Status of Infants Aged 0-24 Months at Puskesmas Merdeka, Bogor City",Anwar K.,2023,Amerta Nutrition,Unknown Language,0,Sahid University,"MEDI, NURS"
DynArt ChatGPT: a platform for generating dynamic intangible cultural heritage new year paintings,Jin C.,2023,Journal of Graphics,Unknown Language,0,Communication University of China,COMP
Instrumentation and Instrumentalization of The Video Document in FFL Class: Example of a didactic sequence,Broutin J.,2023,Traduction et Langues,Unknown Language,0,University of Bursa Uludag,"MATH, PHYS"
The Effect of Flexitarian Diet on Waist Circumference and Sagittal Abdominal Diameter in Obese Female Students,Akifah A.,2023,Amerta Nutrition,Unknown Language,0,Universitas Diponegoro,"MEDI, NURS, SOCI"
Knee cysts detection algorithm based on Mask R-CNN integrating global-local attention module,Zhang L.Y.,2023,Journal of Graphics,Unknown Language,1,Changchun University of Science and Technology,COMP
The Concept Map: A Support for Learning Transfer,Meliani Y.,2023,Traduction et Langues,Unknown Language,0,Université Blida 1,"SOCI, BIOC"
Towards a Historical Approach to Translation in Translator Education,Saridaki E.,2023,Traduction et Langues,Unknown Language,0,University of Thessaly,"ARTS, SOCI"
Factors Associated with Expenditure on Animal Protein among Indonesian Households,Mauludyani A.V.R.,2023,Amerta Nutrition,Unknown Language,0,IPB University; Universitas Indonesia,"AGRI, MEDI, NURS"
Detail-enhanced multi-exposure image fusion method,Xia X.H.,2023,Journal of Graphics,Unknown Language,0,Chang'an University; Harbin Institute of Technology,COMP
Research on image privacy detection based on deep transfer learning,Wang D.F.,2023,Journal of Graphics,Unknown Language,0,China University of Mining and Technology,COMP
High-capacity clipped robust image steganography based on multilevel invertible neural networks,Li H.X.,2023,Journal of Graphics,Unknown Language,0,Nankai University; Tianjin Media Computing Center,COMP
Mid Upper Arm Circumference (MUAC) Accuracy in Detecting Acute Malnutrition in Children under 5 Years: A Literature Review,Ariza N.R.,2023,Amerta Nutrition,Unknown Language,1,Universitas Airlangga,"MEDI, NURS"
Reference Knowledge: What transposition in the teaching-learning contents of FLE to Algerian Secondary School?,Nasredine B.,2023,Traduction et Langues,Unknown Language,0,Université Constantine 1; Université de Jijel,"MULT, SOCI"
A review of neural radiance field for autonomous driving scene,Cheng H.,2023,Journal of Graphics,Unknown Language,2,Shanghai University of Electric Power,COMP
"The Relationship between the Compliance of TTD Consumption, Nutrition Intake, and Nutrition Status on the Incidence of Anemia in Adolescent Girls at SMPN 1 Gunungsari",Abby S.O.,2023,Amerta Nutrition,Unknown Language,0,University of Pembangunan Nasional Veteran Jakarta,"MEDI, NURS"
Effect of Rose (Rosa damascena Mill) Essential Oil on Biofilm Formation and Swarming Motility on Pseudomonas aeruginosa,Çevikbaş H.,2023,Akademik Gida,Unknown Language,1,Süleyman Demirel Üniversitesi,MEDI
Video captioning based on semantic guidance,Shi J.H.,2023,Journal of Graphics,Unknown Language,0,Southeast University,COMP
Optimization design of operating state information of molded case circuit breaker based on eye tracking,Li H.S.,2023,Journal of Graphics,Unknown Language,0,Hubei Institute of Fine Arts,COMP
Multi-scale view synthesis based on neural radiance field,Fan T.,2023,Journal of Graphics,Unknown Language,1,Yunnan University,COMP
Gamification drives in personal carbon footprint Apps,Yao S.L.,2023,Journal of Graphics,Unknown Language,0,Wuhan Institute of Technology,COMP
Future frame prediction based on multi-branch aggregation for lightweight video anomaly detection,Huang S.N.,2023,Journal of Graphics,Unknown Language,1,Hunan University of Technology and Business,COMP
Seed characteristics and the influence of scarification treatments on the germination of Pterocarpus angolensis in Botswana,Latiwa A.N.,2023,Journal of Experimental Biology and Agricultural Sciences,Unknown Language,1,University College of Botswana,"AGRI, BIOC"
Expression of oestrogen and progesterone receptor and intermediate filament proteins in the oviduct of mares with endometrosis,Profaska M.,2023,Animal Science and Genetics,Unknown Language,0,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,"AGRI, BIOC"
"Asyndetic Complementation in the Light of Explicative Syntax (Exemplified with Bulgarian, Polish and Ukrainian)",Kiklewicz A.,2023,Slavia Meridionalis,Unknown Language,0,Uniwersytet Warminsko-Mazurski w Olsztynie,"ENVI, BIOC"
Genomic DNA extraction from the medicinal plant Crocus sativus: Optimization of Standard Methods,El Merzougui S.,2023,Journal of Experimental Biology and Agricultural Sciences,Unknown Language,0,Université Ibn Zohr,"AGRI, BIOC"
Linguistic mechanisms of colour term evolution: A diachronic investigation of “Russian browns” buryj and koričnevyj,Bochkarev V.V.,2023,Diachronica,Unknown Language,0,Kazan Federal University,SOCI
Wound Healing and Skin Regeneration: Present Status and Future Directions,Amitha Banu S.,2023,Journal of Experimental Biology and Agricultural Sciences,Unknown Language,2,Indian Veterinary Research Institute,BIOC
Ultrasonic-TEV Combined Detection Technology of Partial Discharge in Switchgear,Sun Y.,2023,Gaodianya Jishu/High Voltage Engineering,Unknown Language,4,Xi'an Jiaotong University,ENGI
Ablative Properties of Buffer Layer in Aluminum Sheath Structure of High Voltage Cable,Feng Y.,2023,Gaodianya Jishu/High Voltage Engineering,Unknown Language,1,China Electric Power Research Institute,ENGI
Charge Traps and Microscopic Properties of Polyimide Under Effects of Electric Field and Temperature,Li Y.,2023,Gaodianya Jishu/High Voltage Engineering,Unknown Language,1,China Three Gorges University,ENGI
Research on Testing Method in Full Working Condition of Damping Capacity in HVDC Valve,Ouyang W.,2023,Gaodianya Jishu/High Voltage Engineering,Unknown Language,1,State Grid Corporation of China,ENGI
DevEx in Action A study of its tangible impacts,Forsgren N.,2023,Queue,Unknown Language,0,Microsoft Research,"IMMU, BIOC"
A numerical analysis of the S-CO<inf>2</inf> coupled with lead-bismuth eutectic heat transfer characteristics in straight channel PCHE,Liu K.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,1,Harbin Engineering University,ENGI
Development of an analytical program for natural circulation and corrosion precipitation in a LBE flow loop,Li H.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,0,North China Electric Power University,ENGI
"Holderlin, Hegel and the communism of spirits",Rodríguez G.S.,2023,Boletin de Estetica,Unknown Language,0,Universidad Nacional de Cuyo,"SOCI, ARTS"
Interfacial structure transport characteristic of two-phase flow in rod bundle channels with a spacer grid,Ren J.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,0,Harbin Engineering University,ENGI
Analysis of the Gamma spectrum using Monte Carlo simulation and Gaussian reconstruction,Ye E.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,0,Institute of NBC Defense,ENGI
Modeling and simulation of the start-up process of a high-pressure feed water heater in a nuclear power plant,Zhang Z.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,1,Harbin Engineering University,ENGI
Prediction of hold-up in pulsed disc-doughnut column based on least absolute shrinkage and selection operator regression,Jin L.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,0,Harbin Engineering University,ENGI
Calculation of average scattering cosine based on conservation of neutron mean square displacement,Qin S.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,0,Xi'an Jiaotong University,"ENGI, ENVI"
Effect of geometric structure on the thermodynamic performance of S-CO<inf>2</inf> centrifugal compressor,Zhao F.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,1,Harbin Engineering University,ENGI
A numerical study of vortex-induced vibration of heat exchanger tubebased on refined modeling,Sun J.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,1,Harbin Engineering University,ENGI
Heat transfer characteristics of shell and tube heat exchangers for nuclear-powered spacecraft,Li Z.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,1,Harbin Institute of Technology,ENGI
The study on the extraction separation and mechanism of U(VI)/Mo(VI) by bipyridine diamide ligands,Xiu T.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,2,"Institute of High Energy Physics, Chinese Academy of Sciences; China Institute of Atomic Energy; Harbin Engineering University",ENGI
Fire Accident Simulation and Fire Emergency Technology Simulation of Lithium Iron Phosphate Battery in Prefabricated Compartment for Energy Storage Power Station,Yu J.,2023,Gaodianya Jishu/High Voltage Engineering,Unknown Language,4,Chongqing Jiaotong University; Chongqing Key Laboratory of Green Aviation Energy and Power,"ENER, ENGI, MATH"
Distribution ratio model for extraction of uranium with methyltrioctylammonium carbonate based on carbonate system,Fang H.,2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,Unknown Language,1,Harbin Engineering University,ENGI
A review of the discrete element method/modelling in agricultural engineering,Guo Q.,2023,Journal of Agricultural Engineering,Unknown Language,1,Public Inspection and Testing Center; Quality Supervision and Inspection Center for Selenium-rich and Zinc-rich Products of Sichuan Province,"AGRI, ENGI"
Effect of Psidium guajava Juice on The Seminiferous Tubules Diameter and Epithelium Thickness in Rattus norvegicus Exposed by Lead Acetate,Annisa S.,2023,Journal of Experimental Biology and Agricultural Sciences,Unknown Language,0,Universitas Airlangga,BIOC
Making Women Visible: How Gender Quotas Shape Global Attitudes toward Women in Politics,Kim J.,2023,Politics and Gender,Unknown Language,5,Wissenschaftszentrum Berlin fur Sozialforschung,SOCI
Islamic Revival in Kazakhstan from the Historical Perspective (1991-2020),Sadvokassov S.,2023,Journal of Al-Tamaddun,Unknown Language,1,Buketov Karagandy University,SOCI
First record of the leafhopper Neoaliturus grandidentis Gnezdilov (Auchenorrhyncha: Cicadellidae) in Israel,Sinaiko G.,2023,Israel Journal of Entomology,Unknown Language,1,Tel Aviv University,AGRI
Biodiesel production feedstocks: current state in Algeria,Bessah R.,2023,Journal of Renewable Energies,Unknown Language,2,Centre de Développement des Energies Renouvelables,"ENER, ENGI, MATH"
